gene,ev1,weight,rank
STXBP5L,(0.024211386453303355+0j),0.024211386453303355,19314.0
ESPL1,(0.02397523507875065+0j),0.02397523507875065,19313.0
CENPE,(0.023929191425161332+0j),0.023929191425161332,19312.0
CCDC150,(0.023733001986329546+0j),0.023733001986329546,19311.0
CEP70,(0.023437369233704756+0j),0.023437369233704756,19310.0
DNAJC22,(0.02337655502898677+0j),0.02337655502898677,19309.0
TACC3,(0.023354859035823954+0j),0.023354859035823954,19308.0
CEP55,(0.02332066753264149+0j),0.02332066753264149,19307.0
NT5DC4,(0.02310311286226858+0j),0.02310311286226858,19306.0
KIF18A,(0.023064846018384422+0j),0.023064846018384422,19305.0
KIF15,(0.02287081089796958+0j),0.02287081089796958,19304.0
APOBEC3B,(0.02283366781990584+0j),0.02283366781990584,19303.0
NOSTRIN,(0.022265237573101018+0j),0.022265237573101018,19302.0
ARL6IP1,(0.022108753377793992+0j),0.022108753377793992,19301.0
SPC24,(0.02203019765479555+0j),0.02203019765479555,19300.0
LIPI,(0.022001305491197314+0j),0.022001305491197314,19299.0
CIT,(0.021980132261012794+0j),0.021980132261012794,19298.0
PRC1,(0.021940427317214416+0j),0.021940427317214416,19297.0
HMGB2,(0.02184204073617383+0j),0.02184204073617383,19296.0
CEP128,(0.021809856564418577+0j),0.021809856564418577,19295.0
SGO1,(0.021593149371560528+0j),0.021593149371560528,19294.0
CKS2,(0.021576336297087755+0j),0.021576336297087755,19293.0
NEIL3,(0.02154171706847575+0j),0.02154171706847575,19292.0
UBASH3A,(0.021280768315924615+0j),0.021280768315924615,19291.0
CDKN3,(0.020843017323574343+0j),0.020843017323574343,19290.0
CA9,(0.02062958648339391+0j),0.02062958648339391,19289.0
PRR5L,(0.020466038029281666+0j),0.020466038029281666,19288.0
MYORG,(0.020460666149900792+0j),0.020460666149900792,19287.0
PIF1,(0.020431273007634976+0j),0.020431273007634976,19286.0
H3C8,(0.020380428555161853+0j),0.020380428555161853,19285.0
NUSAP1,(0.02036075731160978+0j),0.02036075731160978,19284.0
CKS1B,(0.020239641070270747+0j),0.020239641070270747,19283.0
THSD4,(0.020163913675972447+0j),0.020163913675972447,19282.0
CKAP2,(0.0201320813703844+0j),0.0201320813703844,19281.0
PADI2,(0.019907725763557895+0j),0.019907725763557895,19280.0
MELK,(0.0198535992066851+0j),0.0198535992066851,19279.0
CATSPERE,(0.019727732595772453+0j),0.019727732595772453,19278.0
FOXM1,(0.01970721583576105+0j),0.01970721583576105,19277.0
NCAPH,(0.019674959553980593+0j),0.019674959553980593,19276.0
PTTG2,(0.019667353244290645+0j),0.019667353244290645,19275.0
SDSL,(0.019620227489311075+0j),0.019620227489311075,19274.0
C12orf71,(0.019465301777569798+0j),0.019465301777569798,19273.0
H3C3,(0.019438325957986155+0j),0.019438325957986155,19272.0
TUBA1C,(0.019268182719224855+0j),0.019268182719224855,19271.0
MKI67,(0.019255066548523714+0j),0.019255066548523714,19270.0
GPR19,(0.01920454555629396+0j),0.01920454555629396,19269.0
SFN,(0.019192089373983392+0j),0.019192089373983392,19268.0
H3C2,(0.019182738325498345+0j),0.019182738325498345,19267.0
KIF22,(0.019040761568021296+0j),0.019040761568021296,19266.0
NOTCH2NLC,(0.01885269220643248+0j),0.01885269220643248,19265.0
CYP4F3,(0.018739686315754213+0j),0.018739686315754213,19264.0
ARHGAP19-SLIT1,(0.018729305655364778+0j),0.018729305655364778,19263.0
MID1,(0.018710024373532815+0j),0.018710024373532815,19262.0
MYO1H,(0.018684379548510606+0j),0.018684379548510606,19261.0
KIAA1671,(0.018638997347451627+0j),0.018638997347451627,19260.0
KCTD14,(0.018573873074650894+0j),0.018573873074650894,19259.0
KIF20B,(0.01857263628020395+0j),0.01857263628020395,19258.0
MAMDC2,(0.018548973722996017+0j),0.018548973722996017,19257.0
TLCD3B,(0.018526510428790565+0j),0.018526510428790565,19256.0
RASGRP4,(0.018305913337903344+0j),0.018305913337903344,19255.0
NET1,(0.018295241734400742+0j),0.018295241734400742,19254.0
H2AC20,(0.018201545663224693+0j),0.018201545663224693,19253.0
ALAS2,(0.018151015803959863+0j),0.018151015803959863,19252.0
SKA3,(0.01813142307286188+0j),0.01813142307286188,19251.0
C7orf25,(0.018117118366693833+0j),0.018117118366693833,19250.0
SRGAP2,(0.01808353841566106+0j),0.01808353841566106,19249.0
CIP2A,(0.01807832056926199+0j),0.01807832056926199,19248.0
EPHA3,(0.018044897230769696+0j),0.018044897230769696,19247.0
PLK4,(0.018042160202737814+0j),0.018042160202737814,19246.0
STIL,(0.017921709231876068+0j),0.017921709231876068,19245.0
SHCBP1,(0.01784149842932894+0j),0.01784149842932894,19244.0
SHB,(0.017724508521363955+0j),0.017724508521363955,19243.0
SPDL1,(0.01770424803882584+0j),0.01770424803882584,19242.0
MTFR2,(0.01763297484609836+0j),0.01763297484609836,19241.0
ALOX12B,(0.017581455757886694+0j),0.017581455757886694,19240.0
KCNJ13,(0.017436268965444396+0j),0.017436268965444396,19239.0
USP2,(0.017388867766108113+0j),0.017388867766108113,19238.0
BORA,(0.01729982800691512+0j),0.01729982800691512,19237.0
